Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,-70.565409032,-248.023024994,5.06605868367e-12,47,21.1986351195,1608608118.68,98.5152575797,-116.393414538,-449.447194966,5.0,-6.05516620612e-17,-0.0146238206339,0.0,0.0070609426321,0.0146238206339
1,-71.3184265162,-252.088695554,0.699857876983,46,21.1789117194,1577191734.6,91.7842082757,-124.689269108,-499.130646259,4.98603316763,-1.14561436517e-16,-0.0170824209268,0.0,0.00664527700132,0.0170824209268
2,-61.6518111218,-196.86058937,0.538040048174,47,21.1905423607,1595642575.5,80.7270115322,-119.759339855,-383.616805756,4.99441137247,5.42287871269e-17,-0.0138202413517,0.0,0.00642504972358,0.0138202413517
3,-57.8189679614,-172.741343938,0.579799229369,47,21.1762842236,1573053109.49,69.105424683,-114.312798065,-374.80857542,4.98451825468,-2.03055110073e-16,-0.0163672166261,0.0,0.00665193391192,0.0163672166261
4,-57.0996735426,-162.879580011,0.66827229261,48,21.162181345,1551024232.81,61.3994859343,-114.798430734,-336.694600216,4.97450770322,-8.13554888549e-17,-0.0194390335908,0.0,0.00966924074115,0.0194390335908
5,-53.4543590859,-140.037467352,0.356333107498,48,21.1473201738,1528144626.13,17.4337872847,-115.088864383,-212.247897945,4.96395259958,-9.60751014224e-17,-0.0144130847419,0.0,0.00779929223096,0.0144130847419
6,-52.901641052,-136.514366897,0.827553014042,49,21.1363090898,1511410397.38,19.2145103861,-112.141119103,-223.878450043,4.95603988825,1.43264261284e-17,-0.0147976304745,0.0,0.00976707258115,0.0147976304745
7,-51.8376521233,-129.17945676,0.892799362683,50,21.1193055099,1485928267.5,12.5834040012,-109.068647657,-167.453547371,4.94431036074,-5.64387084211e-17,-0.0165404226735,0.0,0.00665995566188,0.0165404226735
8,-51.7137405297,-128.866141206,0.87682859145,50,21.1335199139,1507200681.39,12.9046780896,-109.042657097,-177.021898249,4.95430189103,1.21185155484e-16,-0.0169558653948,0.0,0.00905425824691,0.0169558653948
9,-51.3957866216,-126.009526224,0.940258350227,51,21.1424449306,1520712680.34,7.97029609534,-111.469602804,-156.828720519,4.96078018203,-1.45914325411e-16,-0.012744390315,0.0,0.00649117394023,0.012744390315
10,-50.7855176972,-125.037741265,0.943329318196,50,21.134398823,1508525956.07,7.57297889889,-113.259156045,-151.676088617,4.9554736058,-1.0770638313e-16,-0.014877535829,0.0,0.00699835585804,0.014877535829
11,-49.5025776624,-118.782866678,0.959332491421,52,21.1274325249,1498053633.64,6.10067817795,-107.539454326,-134.024476266,4.9506556854,8.05762889384e-17,-0.0133459856424,0.0,0.0093679821,0.0133459856424
12,-49.0078957085,-117.537965817,0.970174039486,52,21.1051567673,1465052283.74,5.73262752911,-104.500159776,-132.124334422,4.93471648861,-3.77300645252e-17,-0.0138679827576,0.0,0.00711080745881,0.0138679827576
13,-48.4471577614,-114.187251537,0.965874281234,53,21.0889107313,1441443287.09,6.22515396902,-102.168604604,-138.780541541,4.92312136581,-8.64994802654e-17,-0.0167171346521,0.0,0.00926961143557,0.0167171346521
