Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,-53.8553046249,-143.622530758,5.04142283475e-11,47,21.1986351195,1608608118.68,17.0165741636,-121.29561774,-193.831517387,5.0,-2.63634051298e-16,-0.014844585973,0.0,0.0089564715185,0.014844585973
1,-56.0309739799,-153.607790416,0.905095649463,46,21.1901706662,1595049594.17,14.9947140391,-123.493696302,-190.874256459,4.99406050944,3.8915259493e-17,-0.0223919280713,0.0,0.00680572793384,0.0223919280713
2,-52.5858313061,-139.498102023,0.857821682304,47,21.200951453,1612338510.38,11.4413593827,-123.151473993,-164.965711021,5.00175576087,-1.21174686316e-16,-0.0148886542345,0.0,0.00915212890801,0.0148886542345
3,-52.6640571589,-139.269100187,0.914995441563,47,21.1913809055,1596981154.45,11.9656261941,-120.11599424,-181.817109425,4.99502498514,1.22966969364e-16,-0.0169541545641,0.0,0.00997127403531,0.0169541545641
4,-52.8432739263,-141.39409586,0.814477056443,47,21.1952004131,1603092499.85,18.0805019827,-122.052088516,-237.237767338,4.99784770872,1.3372495396e-17,-0.0136091103509,0.0,0.00680337646099,0.0136091103509
5,-51.585232954,-135.720387484,0.869070361202,47,21.1673209647,1559016428.38,11.7733891776,-119.36370868,-171.52739988,4.97789653201,-1.87306546781e-17,-0.0194824934743,0.0,0.00876704468114,0.0194824934743
6,-50.9516958737,-131.695422545,0.904605357328,48,21.1539318293,1538281666.25,9.1609827393,-118.689752613,-162.05640886,4.96848394997,-2.56317572226e-16,-0.0147210461862,0.0,0.00626514584656,0.0147210461862
7,-50.297153347,-128.792197867,0.951714842563,48,21.1356099984,1510354152.53,5.78842057847,-119.549187149,-146.781834228,4.95562985545,-9.23670064843e-17,-0.0134099734278,0.0,0.00741129732138,0.0134099734278
8,-50.1816920367,-128.352744876,0.963864606221,48,21.1098818527,1471991161.29,6.07641639539,-111.112043756,-141.009232412,4.93760809162,-2.70560964649e-16,-0.0173323054152,0.0,0.00974374516034,0.0173323054152
9,-49.9267291552,-125.903220376,0.948534010796,50,21.1130296178,1476631943.91,6.47398024305,-113.116465233,-142.090800297,4.93981143076,2.30298401824e-16,-0.0127922665799,0.0,0.00679382360065,0.0127922665799
10,-49.4058353481,-123.076685199,0.958164614019,50,21.1163027374,1481473055.35,5.46840388258,-112.075566955,-144.443386623,4.94224569342,-2.42327312191e-17,-0.0126621841532,0.0,0.00819145378226,0.0126621841532
11,-48.7932982455,-121.304204879,0.972375719777,51,21.1036985404,1462917461.89,4.67966540275,-109.683255547,-131.604798521,4.93294708559,1.04743672154e-16,-0.0149533635543,0.0,0.00918251514514,0.0149533635543
12,-48.4310237441,-119.306932742,0.966483574327,51,21.0794685367,1427896953.33,4.59579943139,-110.66958748,-128.879893919,4.91627765047,2.45665426725e-16,-0.0151191273057,0.0,0.00965130441839,0.0151191273057
13,-47.9840346772,-116.760462653,0.967826125476,52,21.080650604,1429585821.5,4.40061223462,-108.643036679,-128.502312053,4.91713327615,3.49277350481e-16,-0.0136703814975,0.0,0.00965650290129,0.0136703814975
14,-48.0884637622,-118.973698552,0.97132853768,51,21.0452224952,1379824970.6,4.05397756804,-109.333802201,-128.912957091,4.8921289154,4.15755278323e-17,-0.0144699313215,0.0,0.00690099420942,0.0144699313215
15,-47.8861484961,-117.596343677,0.978136145296,52,21.0254744136,1352843368.84,3.87756456595,-110.526718823,-125.902466171,4.87867741749,-2.92395802675e-16,-0.0154684996282,0.0,0.00924669099639,0.0154684996282
16,-47.3804266684,-115.323550846,0.976519765104,52,21.0049698159,1325386319.64,3.43013347105,-108.821677942,-124.26203441,4.86465657508,-9.34669284537e-17,-0.0155959146404,0.0,0.0086161656899,0.0155959146404
17,-47.0389392788,-115.095617086,0.983795544922,52,20.9756772842,1287125512.59,3.30951390488,-107.532587486,-122.884036016,4.84448164484,8.871535649e-17,-0.011711442221,0.0,0.00649619229711,0.011711442221
18,-46.8513128904,-113.919847129,0.983539290922,52,20.9340355122,1234627956.91,3.27779158803,-103.644124701,-119.96152837,4.81624787589,2.31406343019e-16,-0.0137155012291,0.0,0.00969690080864,0.0137155012291
19,-46.7598236917,-113.763014386,0.976236734411,52,20.8778921805,1167221739.63,4.0374986968,-99.4995074447,-122.022166087,4.77829276906,1.36119087998e-16,-0.0130444856363,0.0,0.00657245214129,0.0130444856363
20,-46.4108398867,-112.485705747,0.982506104153,52,20.855499761,1141375283.16,3.41017412394,-102.177478325,-121.142417332,4.76256916651,8.01913858168e-18,-0.0126464894177,0.0,0.00691215914657,0.0126464894177
21,-46.126562136,-111.611084295,0.989908774196,52,20.7867341612,1065525733.9,2.57999879302,-106.652851132,-119.028294834,4.71643914525,4.21966684636e-17,-0.0160199632248,0.0,0.00996462892834,0.0160199632248
22,-45.962709932,-111.239917935,0.980815575423,52,20.765427617,1043063211.97,3.42415623517,-103.615914918,-120.368618845,4.70250992002,-5.08760781665e-16,-0.0116691939286,0.0,0.00765948241558,0.0116691939286
23,-45.7685668893,-109.963422587,0.982891523456,53,20.7294144604,1006167565.07,2.68548963642,-104.496796161,-115.297426789,4.6781128767,-1.20154959652e-17,-0.0155613526593,0.0,0.00869488578774,0.0155613526593
24,-45.8007915477,-110.389274317,0.981824314867,53,20.7428791673,1019806935.41,3.42216672082,-103.7749446,-115.921206543,4.68802413219,-2.85857817986e-16,-0.0147836058077,0.0,0.00935402193502,0.0147836058077
25,-45.4265956024,-108.72701787,0.97894028369,53,20.7008670078,977850162.138,3.96415165462,-100.553529921,-121.887914898,4.66117118456,7.81766421473e-17,-0.0169573237031,0.0,0.00934801462132,0.0169573237031
