Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,-0.662427182762,-67.9713083167,1.47788670191e-10,7,19.9438548311,458676089.31,10.9173635696,-55.2362388893,-82.6292345588,4.40223175545,-2.23281710581e-16,-0.0296797527742,0.0,0.00877905966143,0.0296797527742
1,-0.768988031112,-67.4547958985,-0.1783460349,7,19.9414671772,457582235.928,9.78578909708,-55.4612018468,-81.7303293687,4.40016542312,3.28640626314e-17,-0.00926258954599,0.0,0.00475369557891,0.00926258954599
2,-0.931639900089,-63.7166119458,0.635033552921,10,19.9408026334,457278253.521,11.366113592,-52.5871712881,-86.9343281817,4.39951077923,4.02325079603e-16,-0.0247143931322,0.0,0.00674175500955,0.0247143931322
3,-0.76100945065,-60.7362683576,-12.2573159681,12,19.9475173071,460359059.51,9.08239017098,-49.9369351018,-78.6431910677,4.40263287769,-1.81518620767e-17,-0.0186766154114,0.0,0.00834815272291,0.0186766154114
4,-0.817487377674,-64.0321483199,-0.285663450844,10,19.9561239304,464338295.836,9.24161689233,-51.7453848821,-77.6542760414,4.4081309972,1.58450719387e-16,-0.0338321030382,0.0,0.0096084267514,0.0338321030382
5,-0.81637298197,-67.4154197483,-2.85531191635,8,19.9510099313,461969731.787,12.4974898583,-54.5965911739,-91.9907419468,4.40468549815,8.39902956989e-16,-0.0239802758328,0.0,0.00967064132199,0.0239802758328
6,-1.02910041913,-65.3795475811,-16.2102657243,10,19.9534353354,463091554.978,11.0767103483,-53.5569944812,-86.7585601393,4.40616124961,-5.30869113586e-17,-0.00679987846312,0.0,0.00954757326913,0.00679987846312
7,-0.93687286651,-61.7681972965,0.296629574898,12,19.9263845174,450732464.966,10.645164288,-50.2755304158,-83.0160185929,4.38868048773,2.95975603694e-16,-0.0373332319604,0.0,0.00964591571031,0.0373332319604
8,-0.731377849462,-70.8718452462,-0.0299452628896,7,19.906266303,441755139.274,11.8112134663,-52.4068138198,-84.3006784541,4.37592450003,-2.37358025954e-16,-0.021485191588,0.0,0.00613590549116,0.021485191588
9,-0.537969784066,-66.8008081401,-0.184123039776,7,19.8964752713,437451006.037,16.0007184459,-47.6720284085,-90.737954486,4.36890631471,1.61656547533e-16,-0.0239025822255,0.0,0.008039454043,0.0239025822255
10,-0.968482870411,-63.6553954654,0.53082034356,9,19.8967485,437570546.521,12.6338678158,-50.2988856681,-82.7791517739,4.36899842208,4.2800337862e-16,-0.0221442411939,0.0,0.00644415169995,0.0221442411939
11,-0.784726688115,-68.0818713277,0.605610501199,8,19.8989604374,438539496.444,12.7631056364,-54.9726355285,-89.7805311091,4.37063926907,-1.66608137157e-16,-0.032678725775,0.0,0.00766360127484,0.032678725775
12,-0.339996232705,-72.2445328561,-11.7513392689,6,19.9138639224,445124208.957,6.76285422717,-58.7290582894,-80.9126712352,4.38037601633,6.41876621013e-17,-0.0140615330688,0.0,0.00516097896272,0.0140615330688
13,-0.677974671503,-70.6034847897,-41.6902701291,8,19.9143118611,445323641.953,12.9745110075,-51.7937876704,-86.7143809342,4.37881148669,5.15702019838e-17,-0.0267151053604,0.0,0.00739784220445,0.0267151053604
14,-0.727928627695,-67.3497162085,-5.84085553962,8,19.9167601962,446415279.279,9.39960472494,-56.0257698265,-86.222102079,4.37884423261,2.6289768078e-16,-0.0226837031498,0.0,0.00972179024613,0.0226837031498
15,-0.815309172408,-68.0472993041,-0.245660024103,7,19.9360929593,455129685.457,10.8989863046,-51.961929878,-79.5828587766,4.39102873414,-2.17908458921e-16,-0.0277392061339,0.0,0.0084308124843,0.0277392061339
16,-0.82615657045,-64.5544736031,-5.79422459217,9,19.9289434405,451887331.671,9.20443937973,-50.6538723523,-79.4630877946,4.38727214885,6.13330127571e-17,-0.0168124534961,0.0,0.00646544955778,0.0168124534961
17,-0.746599552975,-65.3865594585,0.715341511145,9,19.9313892955,452993935.307,12.2790284987,-49.2525167655,-80.201129336,4.39071821549,-8.4296773284e-17,-0.0284577267103,0.0,0.00995538530847,0.0284577267103
18,-0.726801412321,-66.573728941,0.538425088104,9,19.9270190572,451018563.41,11.7433485135,-51.8552507398,-84.8764512259,4.38804194165,-1.88255208523e-17,-0.0164122403129,0.0,0.00794006084621,0.0164122403129
19,-0.442532368835,-69.8085746684,0.69097636538,7,19.9398759537,456854699.309,10.4637011596,-51.6965435736,-80.1320703751,4.39639456988,-1.74866335679e-17,-0.0201786780658,0.0,0.00656180716568,0.0201786780658
20,-0.455179701233,-71.3743824235,0.707596130545,7,19.9376527662,455840153.824,9.34371966339,-51.8328992976,-82.5596591429,4.39433549994,9.99409446368e-17,-0.0206560615017,0.0,0.00667816081804,0.0206560615017
21,-0.800776809205,-64.4132618538,-9.80783183243,10,19.950727543,461839295.364,10.4012656172,-52.5816724953,-82.1651094723,4.40467023383,-5.74271367035e-17,-0.0169564022277,0.0,0.00802404991328,0.0169564022277
22,-0.973265642649,-63.061154264,0.723141741782,10,19.9597696211,466034219.18,9.76076719939,-52.4333703245,-79.2516505175,4.41177138298,-8.42438821691e-17,-0.0345677988437,0.0,0.00945296374399,0.0345677988437
23,-0.65934148903,-63.7538849124,0.698916483232,10,19.9596525226,465979650.441,9.69701235571,-50.7306064674,-80.6980140527,4.41142069582,9.98774416009e-18,-0.0211110960917,0.0,0.00654509042211,0.0211110960917
24,-0.926088999428,-64.6546305182,-1.18037793685,8,19.9601591568,466215791.481,11.8492392677,-50.6167138752,-82.6203326247,4.41015973331,2.06171608007e-17,-0.0239667048747,0.0,0.00689679701656,0.0239667048747
25,-0.873993561674,-66.1964068467,0.728068201233,9,19.9608745014,466549415.755,10.5936372313,-53.2176008467,-81.671948167,4.41128418039,-2.50134585066e-16,-0.0247941433425,0.0,0.00939591747385,0.0247941433425
26,-0.787586510246,-65.4843749681,-9.45157105912,8,19.9461685438,459738562.633,8.25660712019,-53.7828029724,-76.295550556,4.40535508247,3.04454711884e-18,-0.0161689793401,0.0,0.00863989042776,0.0161689793401
27,-0.533934560762,-70.8805954739,0.28649790234,7,19.937986993,455992533.291,12.1628044346,-51.1327603248,-86.3737410026,4.40094169992,-4.06786391387e-17,-0.0345910840826,0.0,0.00788873659611,0.0345910840826
28,-0.766204409798,-64.9747066145,0.591144896835,8,19.9555147933,464055536.276,14.7023368655,-48.243385537,-85.7434257454,4.41263974231,2.57506198054e-16,-0.025182930551,0.0,0.0090249051029,0.025182930551
29,-1.15926472434,-64.5694066478,-1.89233615111,10,19.9716971765,471626150.874,9.90901471785,-51.5900927505,-77.0497814103,4.42614975851,2.00032483359e-16,-0.0218658422088,0.0,0.00761734401637,0.0218658422088
30,-0.711380927953,-65.5572367528,0.581995801116,7,19.9618790817,467018337.601,12.613101173,-51.2784173678,-82.928482389,4.41825526415,-1.85191093551e-16,-0.0193863569692,0.0,0.0067301720527,0.0193863569692
31,-0.916335386218,-66.1104397869,0.659727213491,8,19.9391605099,456527962.366,10.442397476,-51.0612397548,-79.9750329422,4.40279771913,-4.24673051544e-16,-0.0220404942674,0.0,0.00676456502902,0.0220404942674
32,-0.719482922816,-62.6558480112,0.552268081375,8,19.9561893189,464368659.211,11.4693747798,-42.8811200974,-77.145753355,4.41322414355,2.03174566071e-16,-0.0255845682502,0.0,0.00844153599402,0.0255845682502
33,-0.926658283153,-68.2018493211,-5.34609485299,9,19.957415737,464938518.7,12.6751148342,-56.7322550719,-91.1254156819,4.41649497893,8.54132919694e-16,-0.0172171231644,0.0,0.00656544105308,0.0172171231644
